Codigo    Titulo del libro                                            Autor del libro                                   Stock disponible
LQ6546    El retorno del Rey                                          J.R.R.Tolkien                                         37
SW8176    Todo se desmorona                                           Chinua Achebe                                         23
DY0497    La chica del tren                                           Paula Hawkins                                         40
BL8415    Espania con honra                                           Daniel Aquillue                                       50
MC3155    Los pilares de la tierra                                    Ken Follett                                           35
WK6327    El doble                                                    Fiodor Dostoyevski                                    24
QC1814    Apocalipticos e integrados                                  Umberto Eco                                           26
RD1648    Relato de un naufrago                                       Gabriel Garcia Marquez                                10
BF7018    El handicap de la vida                                      Rudyard Kipling                                        2
VP3355    Las aventuras de Sherlock Holmes                            Arthur Conan Doyle                                    35
BO8724    El pendulo de Foucault                                      Umberto Eco                                           64
CZ0845    El cementerio de Praga                                      Umberto Eco                                            5
OF6634    El problema final                                           Arturo Perez-Reverte                                  64
UV7849    Ficciones                                                   Jorge Luis Borges                                     50
MW6915    Travesuras de la ninia mala                                 Mario Vargas Llosa                                    12
BQ9495    Tormenta de espadas                                         George R.R.Martin                                     27
QA8555    Rimas y leyendas                                            Gustavo Adolfo Becquer                                14
MK4892    La tabla de Flandes                                         Arturo Perez-Reverte                                  21
CA9584    Dr. Jekyll y Mr. Hyde                                       Robert Louis Stevenson                                27
JT3661    Las aventuras de Tom Sawye                                  Mark Twain                                            65
HT4126    Harry Potter y las reliquias de la muerte (Harry Potter 7)  J. K. Rowling                                         15
ZP7176    La caida de los gigantes                                    Ken Follett                                           28
QL8643    Dracula                                                     Bram Stoker                                           23
LQ7170    El tango de la guardia vieja                                Arturo Perez-Reverte                                  65
TA8754    Ulises                                                      James Joyce                                           22
OJ1764    Ensayo sobre la ceguera                                     Jose Saramago                                         40
WE4133    El gato negro y otros cuentos                               Edgar Allan Poe                                       64
PD6557    El ruido y la furia                                         William Faulkner                                      10
UG2294    El proceso                                                  Franz Kafka                                           17
GA2754    El club Dumas                                               Arturo Perez-Reverte                                   8
JE2497    Progreso del peregrino                                      John Bunyan                                           65
CC4070    El italiano                                                 Arturo Perez-Reverte                                  16
BD2849    El invierno del mundo                                       Ken Follett                                           51
CJ9882    El reino de este mundo                                      Alejo Carpentier                                      20
VU3526    Vidas intrepidas                                            Julio Albi de la Cuesta                               45
TY5195    Un asunto de honor                                          Arturo Perez-Reverte                                  48
KK6524    Los renglones torcidos de Dios                              Torcuato Luca de Tena                                 36
PE7420    Jane Eyre                                                   Charlotte Brontë                                      31
WB2923    Mudlarking                                                  Lara Maiklem                                          55
SY5671    Harry Potter y la piedra filosofal (Harry Potter 1)         J. K. Rowling                                         23
BE1339    Palmeras en la nieve                                        Luz Gabas                                             20
HP0390    El conde de Montecristo                                     Alexandre Dumas                                        5
WU1533    Cuatro principes                                            John Julius Norwich                                   31
FR1226    Ana la de las tejas verdes                                  Lucy Maud Montgomery                                   2
RT0664    Los funerales de la Mama Grande                             Gabriel Garcia Marquez                                42
PP3360    El pintor de batallas                                       Arturo Perez-Reverte                                  53
ND9446    Lo que el viento se llevo                                   Margaret Mitchell                                     58
JD9991    Baudolino                                                   Umberto Eco                                            6
IU6076    Rebelion en la granja                                       George Orwell                                         40
WX7633    La tia Julia y el escribidor                                Mario Vargas Llosa                                    40
XZ2187    Los 7 habitos de la gente altamente efectiva                Stephen R. Covey                                      35
EJ1235    Grandes esperanzas                                          Charles Dickens                                       64
DQ0721    En busca del tiempo perdido                                 Marcel Proust                                         50
WM4049    Romper el circulo                                           Colleen Hoover                                        61
WI3090    La seniora Dalloway                                         Virginia Woolf                                        17
ZC7527    El tambor de hojalata                                       Gunter Grass                                           2
YE2119    El asedio                                                   Arturo Perez-Reverte                                  46
KQ9278    Alicia en el pais de las maravillas                         Lewis Carroll                                         23
NF2241    El extranio caso del Dr. Jekyll y Mr. Hyde                  Robert Louis Stevenson                                47
TW5846    El medievo cristiano                                        Mario Merlino                                          2
WP8469    Justine o los infortunios                                   Charles Dickens                                       31
RY6839    Ricardo III                                                 William Shakespeare                                   43
MN3648    Pasaje a la India                                           E. M. Forster                                          4
BL9575    Los miserables                                              Victor Hugo                                           53
OI0019    El evangelio según Jesucristo                               Jose Saramago                                         52
MR5068    Los tres mosqueteros                                        Alejandro Dumas                                       52
WW7975    El nombre de la rosa                                        Umberto Eco                                           47
JE6687    El codigo Da Vinci                                          Dan Brown                                             34
PI9259    Revolucion                                                  Arturo Perez-Reverte                                  55
YF6683    Harry Potter y la Orden del Fenix ( Harry Potter 5)         J. K. Rowling                                         27
KG6581    Hombres buenos                                              Arturo Perez-Reverte                                  44
WT1581    La piel del tambor                                          Arturo Perez-Reverte                                  57
MP1150    Don Quijote de la Mancha                                    Miguel de Cervantes                                   27
PE5718    Paris era una fiesta                                        Hernest Hemingway                                     50
HF2360    Un dia de colera                                            Arturo Perez-Reverte                                  10
TV5056    Moby Dick                                                   Herman Melville                                       31
SE5598    Fortaleza digitali                                          Dan Brown                                             38
VR7016    El corazon de las tinieblas                                 Joseph Conrad                                         32
SX2922    Una historia de Espania                                     Arturo Perez-Reverte                                   1
XB5722    Cumbres borrascosas                                         Emily Brontë                                          45
LE2920    Historia de la Edad Media                                   Indro Montanelli                                      28
NL3677    El Hobbit                                                   J.R.R. Tolkien                                        41
AL2738    1984                                                        George Orwell                                         34
QZ1316    La Eneida                                                   Virgilio                                              48
DU0764    Dioses tumbas y sabios                                      C. W. Ceram                                            7
EJ4830    El Principito                                               Antoine de Saint-Exupery                              52
PZ8059    El hombre que pudo reinar                                   Rudyard Kipling                                       22
JV7549    Los hombres que no amaban a las mujeres                     Stieg Larsson                                         21
XK3142    En el camino                                                Jack Kerouac                                          51
SM9579    El perfume                                                  Patrick Suskind                                       22
GG5049    El eterno marido                                            Fiodor Dostoyevski                                    53
IK5358    La transformacion del mundo                                 Jürgen Osterhammel                                    30
DK4183    La isla del tesoro                                          Robert Louis Stevenson                                30
CT0289    Juego de tronos                                             George R.R.Martin                                      9
VR5984    Mil soles esplendidos                                       Khaled Hosseini                                       24
BE0042    Capitanes intrepidos                                        Rudyard Kipling                                       39
XW5879    Los barcos se pierden en tierra                             Arturo Perez-Reverte                                  51
OG7446    El guardian entre el centeno                                J. D. Salinger                                        57
YH7021    Historia del siglo XX: 1914-1991                            Eric Hobsbawm                                          2
CI5219    El Maestro y Margarita                                      Mijail Bulgakov                                       21
MX8255    Las aventuras de Huckleberry Finn                           Mark Twain                                            55
QY9966    El suenio del tio                                           Fiodor Dostoyevski                                    30
XP8640    El retrato de Dorian Gray                                   Oscar Wilde                                           62
RV5687    La guerra del fin del mundo                                 Mario Vargas Llosa                                    64
BT7258    Linea de fuego                                              Arturo Perez-Reverte                                   5
LC8965    Las aventuras de Rocambole                                  Ponson Du Terrail                                     38
LM8751    La sumisa                                                   Fiodor Dostoyevski                                     8
GK5617    El Rey Lear                                                 William Shakespeare                                   36
FG6515    El libro de la selva                                        Rudyard Kipling                                       60
VX9089    Madame Bovary                                               Gustave Flaubert                                      28
MI4747    La isla de los amores infinitos                             Daina Chaviano                                        26
MW0186    La sombra del viento                                        Carlos Ruiz Zafon                                     65
SE3213    Por quien doblan las campanas                               Hernest Hemingway                                     20
ZX8790    El senior de las moscas                                     William Golding                                       23
MT1768    Los diarios de Adan y Eva                                   Mark Twain                                            21
GN9910    La ciudad y los perros                                      Mario Vargas Llosa                                    62
NC0786    Mi isla                                                     Elisabet Benavent                                     46
HR5161    El francotirador paciente                                   Arturo Perez-Reverte                                  23
NM6936    Divina comedia                                              Dante Alighieri                                       50
VZ1228    El húsar                                                    Arturo Perez-Reverte                                  43
KB4184    Napoleon                                                    Alejandro Dumas                                       65
BF4088    Harry Potter y el prisionero de Azkaban (Harry Potter 3)    J.K. Rowling                                          24
QD4253    Harry Potter y el misterio del principe ( Harry Potter 6)   J. K. Rowling                                         64
HL4155    El idiota                                                   Fiodor Dostoyevski                                    20
YV0597    Cuentos de la selva                                         Horacio Quiroga                                        2
KU9740    Conversacion en La Catedral                                 Mario Vargas Llosa                                    31
CM9578    Amadis de gaula                                             Garci Rodriguez Montalvo                              33
CI8959    David Copperfield                                           Charles Dickens                                       65
JE8138    Yawar fiesta                                                Jose Maria Arguedas                                   16
HU1288    La hija italiana                                            Soraya Lane                                           14
CU6090    La fiesta del chivo                                         Mario Vargas Llosa                                    14
UC5125    El faro de Stalingrado                                      Iain MacGregor                                        26
UY4915    La sombra del aguila                                        Arturo Perez-Reverte                                  22
SK1312    Un mundo sin fin                                            Ken Follett                                           50
FO4193    La catedral del mar                                         Ildefonso Falcones                                    20
WO8918    Origen                                                      Dan Brown                                             60
ZV6954    Corazon de las tinieblas                                    Joseph Conrad                                         30
LG5566    Pantaleon y las visitadoras                                 Mario Vargas Llosa                                     1
UI3314    El coronel no tiene quien le escriba                        Gabriel Garcia Marquez                                32
FD3949    La divina comedia                                           Dante Alighieri                                       26
VV9246    Matar a un ruisenior                                        Harper Lee                                            54
PM4763    Eva                                                         Arturo Perez-Reverte                                  18
HD6079    Zorba el griego                                             Nikos Kazantzakis                                     10
YI5447    El corazon es un cazador solitario                          Carson Mccullers                                      14
UB3833    Otelo                                                       William Shakespeare                                   11
UO8195    El jardin del Eden                                          Hernest Hemingway                                     11
SX7995    El simbolo perdidoi                                         Dan Brown                                              8
TZ2227    Hamlet                                                      William Shakespeare                                   42
SM8271    La Odisea                                                   Homero                                                53
VL6246    La edad media - barbaros - cristianos y musulmanes          Umberto Eco                                           19
MJ4188    Emma                                                        Jane Austen                                           20
KH2262    Fiesta                                                      Hernest Hemingway                                     23
XB2949    El medico                                                   Noah Gordon                                           32
BH4691    Crimen y castigo                                            Fiodor Dostoyevski                                    62
PE3429    Sidi                                                        Arturo Perez-Reverte                                  49
LA4795    La ladrona de libros                                        Markus ZusaK                                          39
FQ0297    Trampa 22                                                   Joseph Heller                                         31
RG4234    La telarania de Carlota                                     E. B. White                                           15
ZP0333    La Reina del Sur                                            Arturo Perez-Reverte                                  60
BB0685    El capitan Alatriste                                        Arturo Perez-Reverte                                  25
ST1133    Inferno                                                     Dan Brown                                             10
NG2321    El Aleph                                                    Jorge Luis Borges                                     36
SK1164    El amor en los tiempos del colera                           Gabriel Garcia Marquez                                24
YS2674    Secuestrado                                                 Robert Louis Stevenson                                54
RR5443    Un mundo feliz                                              Aldous Huxley                                         29
EN0751    Ana Karenina                                                Leon Tolstoi                                          51
GT8523    Una columna de fuego                                        Ken Follett                                           20
YV9055    Macbeth                                                     William Shakespeare                                   42
GB2311    Decameron                                                   Giovanni Boccaccio                                     7
EH2993    Hijos de un tiempo perdido                                  Jose Maria Bermúdez de Castro                          5
JN4376    Harry Potter y la camara secreta (Harry Potter 2)           J. K. Rowling                                          7
ON3794    Crepúsculo                                                  Stephenie Meyer                                       46
DA2333    Lituma en los Andes                                         Mario Vargas Llosa                                    51
KR6798    El lobo estepario                                           Hermann Hesse                                         49
DA4236    Gente normal                                                Sally Rooney                                          62
AP2859    El túnel                                                    Ernesto Sabato                                         5
HX6253    La isla de las tormentas                                    Ken Follett                                            7
UU5470    La carta esferica                                           Arturo Perez-Reverte                                  25
QB0775    El diablo de la botella y otros cuentos                     Robert Louis Stevenson                                29
EF7625    Las uvas de la ira                                          John SteinbecK                                        19
DS2730    Los Nibelungos                                              Anonimo                                               23
TH6788    Los perros duros no bailan                                  Arturo Perez-Reverte                                  20
LV1872    Orgullo y prejuicio                                         Jane Austen                                           53
UT4998    Lolita                                                      Vladimir Nabokov                                      28
BC5847    Tiempos recios                                              Mario Vargas Llosa                                    33
ZL1098    El extranjero                                               Albert Camus                                          65
ZY0235    Fausto                                                      Johann Wolfgang Von Goethe                            22
QQ4712    Nuestra Seniora de Paris                                    Victor Hugo                                           58
TX3816    El jugador                                                  Fiodor Dostoyevski                                    54
LC7198    Los rios profundos                                          Jose Maria Arguedas                                    7
ZU0977    El alquimista                                               Paulo Coelho                                          62
GQ7769    La Flecha Negra                                             Robert Louis Stevenson                                50
XE0974    Los viajes de Gulliver                                      Jonathan Swift                                        63
FK9792    El psicoanalista                                            John Katzenbach                                       39
RL3393    Le dedico mi silencio                                       Mario Vargas Llosa                                    45
UN8655    Angeles y demoniosi                                         Dan Brown                                             52
GQ6935    La casa de los espiritus                                    Isabel Allende                                        58
WB4941    La montania magica                                          Thomas Mann                                           63
EW1762    Territorio comanche                                         Arturo Perez-Reverte                                  21
HZ8547    Adios a las armas                                           Hernest Hemingway                                     50
CS8992    Y no quedo ninguno                                          Agatha Christie                                       31
FI8064    A sangre fria                                               Truman Capote                                         25
TM9385    El mundo                                                    Simon Sebag Montefiore                                64
DL9379    Los juegos del hambre                                       Suzanne Collins                                       34
FL0150    Romeo y Julieta                                             William Shakespeare                                   63
ZQ8143    Suenios de robot                                            Isaac Asimov                                          31
XT1015    Mientras agonizo                                            William Faulkner                                       1
GO1734    Una historia del mundo                                      Andrew Marr                                           15
MI7078    Los cachorros                                               Mario Vargas Llosa                                    27
AO4129    Stalingrado                                                 Jonathan Trigg                                        18
YG3594    Los demonios                                                Fiodor Dostoyevski                                     3
LC2748    El senior de los anillos (Trilogia)                         J.R.R.Tolkien                                         30
JM4671    Origenes                                                    Lewis Dartnell                                        36
YK6352    Armas germenes y acero                                      Jared Diamond                                         34
SG3432    Bajo bandera negra                                          David Cordingly                                        9
QK1590    Cometas en el cielo                                         Khaled Hosseini                                        4
XC1015    Robinson Crusoe                                             Daniel Defoe                                          58
AB4639    El color que cayo del cielo                                 H. P. Lovecraft                                       43
XF2137    En agosto nos vemos                                         Gabriel Garcia Marquez                                35
IR3963    Memorias de una geisha                                      Arthur Golden                                         34
LH8812    Guerra y Paz                                                Leon Tolstoi                                          50
CA0857    SPQR: una historia de la antigua Roma                       Mary Beard                                            10
LO8691    Catedral                                                    Raymond Carver                                        26
PM0950    Fahrenheit 451                                              Ray Bradbury                                          43
OF6762    Ojos azules                                                 Arturo Perez-Reverte                                  43
EK2757    En llamas                                                   Suzanne Collins                                        2
RE8138    Trilogia de la Fundacion                                    Isaac Asimov                                          44
KE9650    La metamorfosis                                             Franz Kafka                                           44
ZX4462    Culpa mia                                                   Mercedes Ron                                          37
FP3266    Sabotaje                                                    Arturo Perez-Reverte                                   4
